Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
380714,CANAN ÖZCAN,2014,Veri madenciliğinin güvenlik uygulama alanları ve veri madenciliği ile sahtekarlık analizi,İstanbul Bilgi Üniversitesi,Türkçe,Yüksek Lisans,Hukuk = Law
318331,ÜMİT CAN KUMDERELİ,2012,Tıp bilişimi ve veri madenciliği uygulamaları: EEG sinyallerindeki epileptiform aktiviteye veri madenciliği yöntemlerinin uygulanması,Trakya Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Bilim ve Teknoloji = Science and Technology ; Biyoistatistik = Biostatistics
146984,ŞENOL ZAFER ERDOĞAN,2004,Veri madenciliği ve veri madenciliğinde kullanılan K-Means algoritmasının öğrenci veri tabanında uygulanması,İstanbul Üniversitesi,Türkçe,Yüksek Lisans,İşletme = Business Administration
855756,ESRA DEMİRAL,2024,Data mining studies on the whole genome sequence data of bacillus velezensis (eu07) in purpose of dsrna silence against phytophthora infestans,Muğla Sıtkı Koçman Üniversitesi,İngilizce,Yüksek Lisans,Biyoistatistik = Biostatistics ; Mikrobiyoloji = Microbiology ; Moleküler Tıp = Molecular Medicine
855628,AYŞE GÜNAY GÖKBEN,2024,The predictors of learners\' test scores in an online exam preparation system: An educational data mining approach,Orta Doğu Teknik Üniversitesi,İngilizce,Doktora,Eğitim ve Öğretim = Education and Training
875364,YASEMİN KALENDER,2024,Analysis of academic staff performance with data mining,İstanbul Kültür Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
876682,ESMA MUHEYNE DOĞAN,2024,A challenge to copyright: Text and data mining,İstanbul Medeniyet Üniversitesi,İngilizce,Yüksek Lisans,Hukuk = Law
792119,ELİFE ÖZTÜRK KIYAK,2023,Application of data mining techniques in software engineering,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
791986,CEREN ASILKEFELİ,2023,A practical implementation for big data mining and sentiment analysis,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
814067,HANDE DEMİROĞLU,2023,Estimation of success of energy efficieny support program applications for SME\'s with data mining,Galatasaray Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
